Month,InTransit,Export,Import,Transit,InTransit_S,InTransit_Si,Export_S,Export_Si,Import_S,Import_Si,Transit_S,Transit_Si
2009-01-01,1694047,1018906,49290,111695,,,,,,,,
2009-02-01,1585617,1486894,21050,43256,,,,,,,,
2009-03-01,1623911,2363698,23123,39875,,,,,,,,
2009-04-01,1803697,2399224,14855,31541,,,,,,,,
2009-05-01,1880695,1883950,10941,30816,,,,,,,,
2009-06-01,1725181,1811841,11050,32539,,,,,,,,
2009-07-01,1565312,1849047,15630,33458,,,,,,,,
2009-08-01,1622287,1882842,25553,49645,,,,,,,,
2009-09-01,1645277,1743495,31318,46574,,,,,,,,
2009-10-01,1505730,1760121,25770,37324,,,,,,,,
2009-11-01,1546771,1764687,22400,42724,,,,,,,,
2009-12-01,1454007,1930717,19747,43726,,,,,,,,
2010-01-01,1626173,1527296,20334,39586,-67874.0,,508390.0,,-28956.0,,-72109.0,
2010-02-01,1607050,1645183,13055,28220,21433.0,89307.0,158289.0,-350101.0,-7995.0,20961.0,-15036.0,57073.0
2010-03-01,1835041,2135824,16083,27841,211130.0,189697.0,-227874.0,-386163.0,-7040.0,955.0,-12034.0,3002.0
2010-04-01,2085657,2224367,19435,33408,281960.0,70830.0,-174857.0,53017.0,4580.0,11620.0,1867.0,13901.0
2010-05-01,2094440,2136268,20692,41110,213745.0,-68215.0,252318.0,427175.0,9751.0,5171.0,10294.0,8427.0
2010-06-01,1730942,2005529,22060,51686,5761.0,-207984.0,193688.0,-58630.0,11010.0,1259.0,19147.0,8853.0
2010-07-01,1580859,1893642,19366,55058,15547.0,9786.0,44595.0,-149093.0,3736.0,-7274.0,21600.0,2453.0
2010-08-01,1595707,1820499,28302,64212,-26580.0,-42127.0,-62343.0,-106938.0,2749.0,-987.0,14567.0,-7033.0
2010-09-01,1610748,1799429,32188,60434,-34529.0,-7949.0,55934.0,118277.0,870.0,-1879.0,13860.0,-707.0
2010-10-01,1509018,1756042,39466,61674,3288.0,37817.0,-4079.0,-60013.0,13696.0,12826.0,24350.0,10490.0
2010-11-01,1483519,1869437,41948,71589,-63252.0,-66540.0,104750.0,108829.0,19548.0,5852.0,28865.0,4515.0
2010-12-01,1397287,1674598,31322,60923,-56720.0,6532.0,-256119.0,-360869.0,11575.0,-7973.0,17197.0,-11668.0
2011-01-01,1511691,1893748,30262,52407,-114482.0,-57762.0,366452.0,622571.0,9928.0,-1647.0,12821.0,-4376.0
2011-02-01,1647648,1913409,25548,45114,40598.0,155080.0,268226.0,-98226.0,12493.0,2565.0,16894.0,4073.0
2011-03-01,1544967,2244703,34510,36394,-290074.0,-330672.0,108879.0,-159347.0,18427.0,5934.0,8553.0,-8341.0
2011-04-01,1739311,2155813,34561,31612,-346346.0,-56272.0,-68554.0,-177433.0,15126.0,-3301.0,-1796.0,-10349.0
2011-05-01,1701182,2095382,36802,31244,-393258.0,-46912.0,-40886.0,27668.0,16110.0,984.0,-9866.0,-8070.0
2011-06-01,1562847,1960440,35573,35208,-168095.0,225163.0,-45089.0,-4203.0,13513.0,-2597.0,-16478.0,-6612.0
2011-07-01,1446544,1969077,38189,40512,-134315.0,33780.0,75435.0,120524.0,18823.0,5310.0,-14546.0,1932.0
2011-08-01,1528687,2068332,37674,39366,-67020.0,67295.0,247833.0,172398.0,9372.0,-9451.0,-24846.0,-10300.0
2011-09-01,1497092,1868280,52276,46953,-113656.0,-46636.0,68851.0,-178982.0,20088.0,10716.0,-13481.0,11365.0
2011-10-01,1366077,1979755,40786,44946,-142941.0,-29285.0,223713.0,154862.0,1320.0,-18768.0,-16728.0,-3247.0
2011-11-01,1400620,1915590,44116,44383,-82899.0,60042.0,46153.0,-177560.0,2168.0,848.0,-27206.0,-10478.0
2011-12-01,1302644,1855096,36138,42492,-94643.0,-11744.0,180498.0,134345.0,4816.0,2648.0,-18431.0,8775.0
2012-01-01,1428359,1654416,42310,38959,-83332.0,11311.0,-239332.0,-419830.0,12048.0,7232.0,-13448.0,4983.0
2012-02-01,1455515,1740469,24718,50979,-192133.0,-108801.0,-172940.0,66392.0,-830.0,-12878.0,5865.0,19313.0
2012-03-01,1476279,2002912,35818,38459,-68688.0,123445.0,-241791.0,-68851.0,1308.0,2138.0,2065.0,-3800.0
